date,id,mtd
200112,iEQDGLSFUN,0.0448
200201,iEQDGLSFUN,0.0155
200202,iEQDGLSFUN,0.0113
200203,iEQDGLSFUN,0.0212
200204,iEQDGLSFUN,0.0107
200205,iEQDGLSFUN,0.0148
200206,iEQDGLSFUN,-0.0147
200207,iEQDGLSFUN,-0.0318
200208,iEQDGLSFUN,0.016
200209,iEQDGLSFUN,-0.0135
200210,iEQDGLSFUN,-0.0075
200211,iEQDGLSFUN,0.0224
200212,iEQDGLSFUN,0.0005
200301,iEQDGLSFUN,-0.0006
200302,iEQDGLSFUN,-0.004
200303,iEQDGLSFUN,-0.021
200304,iEQDGLSFUN,0.0215
200305,iEQDGLSFUN,0.0596
200306,iEQDGLSFUN,0.0228
200307,iEQDGLSFUN,0.0167
200308,iEQDGLSFUN,0.04
200309,iEQDGLSFUN,0.0193
200310,iEQDGLSFUN,0.0373
200311,iEQDGLSFUN,0.0191
200312,iEQDGLSFUN,0.0449
200401,iEQDGLSFUN,0.0149
200402,iEQDGLSFUN,0.0276
200403,iEQDGLSFUN,0.0146
200404,iEQDGLSFUN,-0.0278
200405,iEQDGLSFUN,-0.0162
200406,iEQDGLSFUN,0.0079
200407,iEQDGLSFUN,-0.0085
200408,iEQDGLSFUN,0.0023
200409,iEQDGLSFUN,0.0378
200410,iEQDGLSFUN,0.0149
200411,iEQDGLSFUN,0.0488
200412,iEQDGLSFUN,0.0212
200501,iEQDGLSFUN,0.0087
200502,iEQDGLSFUN,0.0393
200503,iEQDGLSFUN,-0.0171
200504,iEQDGLSFUN,-0.0256
200505,iEQDGLSFUN,0.0178
200506,iEQDGLSFUN,0.0279
200507,iEQDGLSFUN,0.0366
200508,iEQDGLSFUN,0.0199
200509,iEQDGLSFUN,0.0445
200510,iEQDGLSFUN,-0.0237
200511,iEQDGLSFUN,0.0297
200512,iEQDGLSFUN,0.0383
200601,iEQDGLSFUN,0.0574
200602,iEQDGLSFUN,0.0086
200603,iEQDGLSFUN,0.0256
200604,iEQDGLSFUN,0.0323
200605,iEQDGLSFUN,-0.0418
200606,iEQDGLSFUN,-0.0168
200607,iEQDGLSFUN,0.0028
200608,iEQDGLSFUN,0.0118
200609,iEQDGLSFUN,-0.0016
200610,iEQDGLSFUN,0.024
200611,iEQDGLSFUN,0.0275
200612,iEQDGLSFUN,0.0217
200701,iEQDGLSFUN,0.0057
200702,iEQDGLSFUN,0.0107
